lr,bs,epochs,max_length,accuracy,train_time,accuracy_per_min
2.00E-05,16,5,128,0.868,1255,0.041498008
3.00E-05,16,5,128,0.8736,1257,0.041699284
3.00E-05,32,5,128,0.871,1181,0.044250635
2.00E-05,32,5,128,0.8698,1168,0.044681507
3.00E-05,16,3,128,0.8678,714,0.07292437
3.00E-05,32,3,128,0.873,660,0.079363636
2.00E-05,16,3,128,0.87,640,0.0815625
2.00E-05,32,3,128,0.868,620,0.084
2.00E-05,32,2,128,0.869,580,0.089896552
2.00E-05,16,2,128,0.8716,504,0.103761905
3.00E-05,32,2,128,0.874,470,0.111574468
3.00E-05,16,2,128,0.872,460,0.11373913
