lr,bs,epochs,max_length,accuracy,train_time,accuracy_per_min
8.00E-05,64,2,64,0.8288,247,0.201327935
8.00E-05,64,5,64,0.8328,636,0.078566038
8.00E-05,64,7,64,0.828,950,0.052294737
8.00E-05,128,2,64,0.8307,252,0.197785714
8.00E-05,128,5,64,0.835,685,0.073138686
8.00E-05,128,7,64,0.828,887,0.056009019
0.00012,64,2,64,0.8314,237,0.210481013
0.00012,64,5,64,0.8344,661,0.075739788
0.00012,64,7,64,0.8359,936,0.053583333
0.00012,128,2,64,0.8229,244,0.202352459
0.00012,128,5,64,0.8226,665,0.074219549
0.00012,128,7,64,0.8274,898,0.055282851
0.00024,64,2,64,0.813,240,0.20325
0.00024,64,5,64,0.7904,628,0.075515924
0.00024,64,7,64,0.7852,923,0.051042254
0.00024,128,2,64,0.8231,244,0.202401639
0.00024,128,5,64,0.8226,665,0.074219549
0.00024,128,7,64,0.7976,898,0.053291759
